,Computers available,Departed wait queue,Patrons today,Patrons_waiting 1,Patrons_waiting 10,Patrons_waiting 2,Patrons_waiting 3,Patrons_waiting 4,Patrons_waiting 5,Patrons_waiting 6,Patrons_waiting 7,Patrons_waiting 8,Patrons_waiting 9,Utilization 1,Utilization 10,Utilization 2,Utilization 3,Utilization 4,Utilization 5,Utilization 6,Utilization 7,Utilization 8,Utilization 9,max wait duration,median wait duration,min wait duration,Inventory qty
37,70,128,514,0,41,0,0,6,60,131,147,88,62,0.22857142857142856,1.0,0.3142857142857143,0.38571428571428573,1.0,1.0,1.0,1.0,0.9857142857142858,1.0,88.0,46.0,0.0,75
38,71,116,523,0,27,0,0,7,62,126,120,91,54,0.2676056338028169,1.0,0.3380281690140845,0.6056338028169014,0.9859154929577465,1.0,1.0,1.0,1.0,0.9859154929577465,89.0,32.0,0.0,75
39,70,104,549,0,62,0,0,22,79,133,156,111,93,0.2714285714285714,0.9857142857142858,0.38571428571428573,0.6,1.0,1.0,1.0,1.0,0.9857142857142858,1.0,89.0,34.0,-1.0,75
40,71,132,558,0,57,0,0,3,63,150,178,132,101,0.22535211267605634,1.0,0.2676056338028169,0.43661971830985913,0.9859154929577465,0.9859154929577465,0.9859154929577465,1.0,1.0,1.0,89.0,36.5,0.0,75
41,70,101,508,0,6,0,0,7,69,116,112,63,24,0.2571428571428571,1.0,0.2857142857142857,0.35714285714285715,1.0,0.9857142857142858,1.0,0.9857142857142858,1.0,1.0,87.0,28.0,0.0,75
42,71,119,558,0,60,0,0,2,60,123,185,123,81,0.18309859154929578,0.9859154929577465,0.323943661971831,0.5633802816901409,0.9859154929577465,0.9859154929577465,1.0,0.9859154929577465,0.9859154929577465,1.0,89.0,30.0,0.0,75
43,70,132,549,0,28,0,0,4,53,131,150,118,63,0.22857142857142856,1.0,0.3,0.35714285714285715,1.0,1.0,0.9857142857142858,0.9857142857142858,0.9857142857142858,1.0,89.0,35.0,0.0,75
44,71,110,513,0,37,0,0,20,55,104,144,94,70,0.1267605633802817,1.0,0.28169014084507044,0.5774647887323944,0.9859154929577465,0.9859154929577465,1.0,1.0,1.0,1.0,89.0,28.0,0.0,75
45,71,103,519,0,36,0,0,0,57,118,129,91,63,0.30985915492957744,1.0,0.30985915492957744,0.4225352112676056,0.9859154929577465,1.0,1.0,0.9859154929577465,0.9859154929577465,1.0,89.0,32.0,0.0,75
46,71,133,511,0,2,0,0,0,48,115,127,74,34,0.22535211267605634,1.0,0.23943661971830985,0.4507042253521127,0.9436619718309859,0.9859154929577465,1.0,1.0,1.0,0.9859154929577465,89.0,32.0,0.0,75
