,Computers available,Departed wait queue,Patrons today,Patrons_waiting 1,Patrons_waiting 10,Patrons_waiting 2,Patrons_waiting 3,Patrons_waiting 4,Patrons_waiting 5,Patrons_waiting 6,Patrons_waiting 7,Patrons_waiting 8,Patrons_waiting 9,Utilization 1,Utilization 10,Utilization 2,Utilization 3,Utilization 4,Utilization 5,Utilization 6,Utilization 7,Utilization 8,Utilization 9,max wait duration,median wait duration,min wait duration,Inventory qty
50,70,136,537,0,41,0,0,11,67,101,125,90,59,0.2571428571428571,0.8714285714285714,0.35714285714285715,0.38571428571428573,1.0,0.9857142857142858,0.9857142857142858,1.0,1.0,0.9857142857142858,87.0,29.0,0.0,75
51,70,151,548,0,20,0,0,12,67,140,146,82,37,0.18571428571428572,0.8857142857142857,0.22857142857142856,0.44285714285714284,1.0,1.0,1.0,0.9857142857142858,1.0,0.9857142857142858,88.0,45.0,0.0,75
52,71,73,515,0,85,0,0,7,41,120,154,130,110,0.23943661971830985,0.971830985915493,0.3380281690140845,0.49295774647887325,1.0,0.9859154929577465,1.0,1.0,1.0,0.9859154929577465,86.0,23.0,0.0,75
53,70,173,527,0,2,0,0,0,59,118,121,66,39,0.17142857142857143,0.9285714285714286,0.3,0.5142857142857142,0.9714285714285714,1.0,1.0,1.0,1.0,0.9857142857142858,89.0,39.0,0.0,75
54,71,107,501,0,39,0,0,0,47,114,145,94,73,0.15492957746478872,0.9859154929577465,0.2112676056338028,0.36619718309859156,0.8591549295774648,0.9859154929577465,0.9859154929577465,0.9859154929577465,1.0,1.0,89.0,31.0,0.0,75
55,70,140,549,0,22,0,0,10,63,111,141,79,59,0.2,1.0,0.3,0.42857142857142855,1.0,1.0,0.9857142857142858,0.9857142857142858,1.0,0.9857142857142858,89.0,33.5,0.0,75
56,70,111,525,0,59,0,0,13,62,133,152,121,91,0.1,0.9857142857142858,0.34285714285714286,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,1.0,89.0,32.0,0.0,75
57,70,83,489,0,54,0,0,3,57,102,141,107,65,0.3,0.8142857142857143,0.3142857142857143,0.38571428571428573,1.0,1.0,0.9857142857142858,0.9857142857142858,1.0,0.9857142857142858,89.0,25.0,0.0,75
58,70,129,556,0,34,0,0,13,77,131,154,93,52,0.37142857142857144,0.8714285714285714,0.32857142857142857,0.45714285714285713,1.0,1.0,0.9857142857142858,1.0,1.0,0.9857142857142858,89.0,36.0,0.0,75
59,71,114,516,0,56,0,0,27,80,118,125,101,75,0.14084507042253522,0.9295774647887324,0.323943661971831,0.5633802816901409,0.9859154929577465,0.9859154929577465,1.0,1.0,1.0,1.0,85.0,31.5,0.0,75
60,71,97,516,0,71,0,0,6,63,132,145,118,85,0.19718309859154928,0.8450704225352113,0.28169014084507044,0.49295774647887325,1.0,0.9859154929577465,0.9859154929577465,1.0,0.9859154929577465,1.0,85.0,25.0,0.0,75
61,71,118,542,0,52,0,0,13,64,135,160,101,72,0.2535211267605634,0.9859154929577465,0.29577464788732394,0.6197183098591549,1.0,1.0,1.0,1.0,1.0,1.0,89.0,32.0,0.0,75
62,70,152,566,0,45,0,0,6,61,131,157,107,72,0.21428571428571427,0.9428571428571428,0.44285714285714284,0.4,0.9857142857142858,0.9857142857142858,1.0,0.9857142857142858,0.9857142857142858,0.9857142857142858,89.0,36.0,0.0,75
63,70,173,542,0,19,0,0,3,60,124,124,93,46,0.24285714285714285,1.0,0.4714285714285714,0.5285714285714286,1.0,1.0,0.9857142857142858,1.0,1.0,1.0,91.0,37.0,0.0,75
64,70,109,518,0,48,0,0,13,63,130,132,92,79,0.3,1.0,0.2714285714285714,0.5285714285714286,0.9857142857142858,1.0,0.9857142857142858,0.9857142857142858,1.0,0.9857142857142858,89.0,31.0,0.0,75
65,71,76,504,0,91,0,0,0,51,130,164,136,109,0.2112676056338028,0.9154929577464789,0.2535211267605634,0.38028169014084506,0.9295774647887324,1.0,1.0,1.0,0.9859154929577465,0.9859154929577465,88.0,27.0,0.0,75
66,70,133,545,0,44,0,0,24,77,117,142,78,79,0.2,0.9857142857142858,0.35714285714285715,0.4142857142857143,0.9857142857142858,0.9857142857142858,1.0,0.9857142857142858,1.0,0.9857142857142858,88.0,40.0,0.0,75
67,70,116,540,0,45,0,0,5,70,132,149,99,60,0.21428571428571427,0.8285714285714286,0.34285714285714286,0.5142857142857142,1.0,1.0,1.0,0.9857142857142858,1.0,0.9857142857142858,85.0,28.0,0.0,75
68,70,126,541,0,41,0,0,22,85,138,146,95,63,0.15714285714285714,0.9285714285714286,0.21428571428571427,0.5,0.9857142857142858,0.9857142857142858,1.0,1.0,0.9857142857142858,0.9857142857142858,89.0,37.0,0.0,75
69,71,122,517,0,33,0,0,0,58,98,141,95,65,0.23943661971830985,0.9577464788732394,0.5070422535211268,0.5915492957746479,0.9577464788732394,0.9859154929577465,0.9859154929577465,1.0,1.0,1.0,87.0,31.0,0.0,75
